"key","type","en","bg","br","cn","cz","de","dk","ee","es","fi","fr","gr","hr","hu","it","jp","lt","lu","lv","nl","pl","pt","ro","rs","ru","se","si","sk","tr","ua"
"INTL_BACK_TO_HOME","define","Back to home page","Обратно към начало","Voltar ao início","返回首页","Zpět na hlavní stránku","Zurück zur Startseite","Tilbage til oversigten","Tagasi avalehele","Volver al inicio","Takaisin etusivulle","Page d'accueil","Επιστροφή στην αρχική σελίδα","Povratak na početnu stranicu","Vissza a főoldalra","Torna alla home page","ホームページに戻る","Grįžti į pagrindinį puslapį","Zréck op d'Haaptsäit","Atpakaļ uz sākumlapu","Terug naar homepagina","Powrót do strony startowej","Voltar ao início","Înapoi la pagina principală","Povratak na naslovnu stranicu","Вернуться в основное меню","Tillbaka till översikten","Nazaj na domačo stran","Späť na úvodnú stránku","Ana sayfaya geri dön","На головну сторінку"
"INTL_CURRENT_DATA","const","Current data","Текущи данни","Dados atuais","当前数据","Aktuální hodnoty","Aktuelle Werte","Aktuelle målværdier","Praegused andmed","Datos actuales","Nykyiset tiedot","Données actuelles","Τρέχοντα δεδομένα","Aktualni podaci","Aktuális adatok","Dati attuali","現在のデータ","Dabartiniai duomenys","Aktuell Wäerter","Pašreizējie dati","Huidige data","Obecne wskazania","Dados atuais","Date curente","Trenutni podaci","Текущие значения","Aktuella mätvärden","Trenutni podatki","Aktuálne hodnoty","Aktüel veriler","Поточні показники"
"INTL_DEVICE_STATUS","const","Device status","Статус на устройството","Status do dispositivo","设备状态","Stav zařízení","Gerätestatus","Enhedsstatus","Seadme olek","El estado del dispositivo","Laitteen tila","Etat de l'appareil","Κατάσταση συσκευής","Status uređaja","Eszköz státusz","Stato del dispositivo","デバイスの状態","Įrenginio būsena","Apparat Status","Ierīces statuss","Apparaatstatus","Stan urządzenia","Estado do dispositivo","Starea dispozitivului","Status uređaja","Состояние устройства","Enhetsstatus","Stanje naprave","Stav zariadenia","Cihaz durumu","стан пристрою"
"INTL_ACTIVE_SENSORS_MAP","define","Active sensors map (external link)","Карта на активните сензори (външен линк)","Mapa de sensores ativos","有源传感器地图(外部链接)","Mapa aktivních senzorů (externí odkaz)","Karte der aktiven Sensoren (externer Link)","Kort over aktive sensorer (ekstern link)","Aktiivsete andurite kaart (väline link)","Mapa de sensores activos (enlace externo)","Aktiivisten antureiden kartta (ulkoinen linkki)","Carte des capteurs actifs (lien externe)","Χάρτης ενεργών αισθητήρων (εξωτερικός σύνδεσμος)","Karta aktivnih senzora (vanjska poveznica)","Aktív szenzorok térképe (külső link)","Mappa dei sensori attivi (link esterno)","アクティブセンサーマップ（外部リンク","Aktyvių jutiklių žemėlapis (išorinė nuoroda)","Kaart vun den aktive Sensoren (externen Link)","Aktīvo sensoru karte (ārējā saite)","Actieve sensoren kaart (externe link)","Mapa aktywnych czujników (link zewnętrzny)","Mapa de sensores ativos (ligação externa)","Harta senzorilor activi (link extern)","Mapa aktivnih senzora (spoljni link)","Карта активных датчиков (внешняя ссылка)","Karta över aktiva sensorer (extern länk)","Zemljevid aktivnih senzorjev (zunanja povezava)","Mapa aktívnych senzorov (externý odkaz)","Aktif sensörler haritası(external link)","Мапа активних сенсорів(зовнішнє посилання)"
"INTL_CONFIGURATION_DELETE","define","Delete configuration","Изтриване на Конфигурацията","Apagar configuração","删除配置","Smazat konfiguraci","Konfiguration löschen","Slet opsætningen","Konfiguratsiooni kustutamine","Borrar configuración","Poista kokoonpano","Effacer la configuration","Διαγραφή ρυθμίσεων","Izbriši konfiguraciju","Beállítások törlése","Elimina configurazione","設定の削除","Ištrinti konfigūraciją","Konfiguratioun läschen","Konfigurācijas dzēšana","Configuratie verwijderen","Usunięcie konfiguracji","Apagar configuração","Ștergeți configurația","Izbriši konfiguraciju","Удалить конфигурацию","Ta bort konfiguration","Brisanje konfiguracije","Zmazať konfiguráciu?","Konfigürasyonu sil","Видалити конфігурацію"
"INTL_CONFIGURATION_REALLY_DELETE","define","Are you sure you want to delete the configuration?","Наистина ли искате да изтриете конфигурацията?","Confirms que quer apagar a configuração","你确定要删除配置？","Opravdu smazat konfiguraci?","Konfiguration wirklich löschen?","Skal opsætningen virkelig slettes?","Kas olete kindel, et soovite konfiguratsiooni kustutada?","Estas seguro que quieres borrar la configuración?","Oletko varma, että haluat poistaa kokoonpanon?","Voulez-vous vraiment effacer la configuration?","Είστε σίγουροι ότι θέλετε να διαγράψετε τη διαμόρφωση;","Jeste li sigurni da želite izbrisati konfiguraciju?","Biztosan törölni akarod a beállításokat?","Sei sicuro di voler eliminare la configurazione?","本当に設定を削除していいのか？","Ar tikrai norite ištrinti konfigūraciją?","Konfiguratioun wierklech läschen?","Vai esat pārliecināts, ka vēlaties izdzēst konfigurāciju?","Bent u zeker dat u de configuratie wilt verwijderen?","Czy na pewno chcesz usunąć konfigurację?","Confirma que quere apagar a configuração?","Sunteți sigur că doriți să ștergeți configurația?","Jeste li sigurni da želite da izbrišete konfiguraciju?","Подтвердите удаление конфигурации!","Ska konfigurationen tas bort?","Ali ste prepričani, da želite izbrisati konfiguracijo?","Naozaj zmazať konfiguráciu?","Konfigürasyonu silmek istediğinizden emin misiniz??","Ви точно хочете видалити конфігурацію?"
"INTL_DELETE","define","Delete","Изтрий","Apagar","删除","Smazat","Löschen","Slet","Kustuta","Borrar","Poista","Effacer","Διαγραφή","Izbriši","Törlés","Elimina","削除","Ištrinti","Läschen","Dzēst","Verwijderen","Usuń","Apagar","Ștergeți","Izbriši","Удалить","Ta bort","Izbriši","Zmazať","Sil","Видалити"
"INTL_CANCEL","define","Cancel","Отказ","Cancelar","取消","Zrušit","Abbrechen","Afbryd","Tühista","Cancelar","Peruuta","Annuler","Ακύρωση","Odustani","Mégse","Annulla","キャンセル","Atšaukti","Ofbriechen","Atcelt","Annuleren","Anuluj","Cancelar","Anulează","Poništi","Отменить","Avbryt","Prekliči","Zrušiť","vazgeç","Скасувати"
"INTL_REALLY_RESTART_SENSOR","define","Are you sure you want to restart the sensor?","Наистина ли искате да рестартирате сензора?","Confirma que quer reiniciar o sensor?","你确定要重新启动传感器吗？","Opravdu restartovat senzor?","Sensor wirklich neu starten?","Config.json kunne ikke findes","Kas olete kindel, et soovite anduri uuesti käivitada?","Estas seguro que quieres reiniciar el sensor?","Oletko varma, että haluat käynnistää anturin uudelleen?","Voulez-vous vraiment redémarrer le capteur?","Είστε σίγουροι ότι θέλετε να επανεκκινήσετε τον αισθητήρα;","Jeste li sigurni da želite ponovno pokrenuti senzor?","Biztosan újraindítod a szenzort?","Sei sicuro di voler riavviare il sensore?","本当にセンサーを再起動するのか？","Ar tikrai norite iš naujo paleisti jutiklį?","Sensor wierklech nei starten?","Vai esat pārliecināts, ka vēlaties restartēt sensoru?","Bent u zeker dat u de sensor wilt herstarten?","Czy na pewno chcesz uruchomić czujnik ponownie?","Confirma que quere reiniciar o sensor?","Sunteți sigur că doriți să reporniți senzorul?","Jeste li sigurni da hoćete da ponovo pokrenete senzor?","Подтвердите перезапуск устройства!","Config.json kunde inte hittas","Ste prepričani, da želite znova zagnati senzor?","Naozaj reštartovať senzor?","Sensörü tekrar bağlatmak istediğinizden emin misiniz?","Ви точно хочете перезавантажити сенсор?"
"INTL_RESTART","define","Restart","Рестарт","Reiniciar","重新启动","Restartovat","Neu starten","Genstart","Restart","Reiniciar","Käynnistä uudelleen","Redémarrer","Επανεκκίνηση","Ponovno pokretanje","Újraindítás","Riavvio","再起動","Iš naujo paleiskite","Nei starten","Restartējiet","Herstart","Uruchom ponownie","Reiniciar","Reporniți","Restartuj","Перезапустить","Starta om","Ponovni zagon","Reštartovať","yeniden bağlat","Перезавантажити"
"INTL_SAVE_AND_RESTART","const","Save configuration and restart","Запис и рестарт","Salvar e reiniciar","保存配置并重新启动","Uložit a restartovat","Speichern und neu starten","Gem og genstart","Konfigureerimise salvestamine ja taaskäivitamine","Guardar y reiniciar","Tallenna kokoonpano ja käynnistä uudelleen","Sauvegarder et redémarrer","Αποθήκευση ρυθμίσεων και επανεκκίνηση","Spremi izmjene i ponovno pokreni","Mentés és újraindítás","Salva e riavvia","設定の保存と再起動","Išsaugoti konfigūraciją ir paleisti iš naujo","Späicheren a nei starten","Konfigurācijas saglabāšana un restartēšana","Opslaan en herstarten","Zapisz i zrestartuj","Salvar e reiniciar","Salvați configurația și reporniți","Sačuvaj i restartuj","Сохранить и перезапустить","Spara och starta om","Shranite konfiguracijo in znova zaženite","Uložiť a reštartovať","Kaydet ve yeniden bağlat","Зберегти та перезавантажити"
"INTL_FIRMWARE","define","Firmware version","Софтуер версия","Versão do Firmaware","固件版本","Verze firmware","Firmware","Firmware","Püsivara versioon","Versión del Firmware","Firmware-versio","Firmware","Έκδοση υλικολογισμικού","Firmver","Firmware verzió","Versione firmware","ファームウェアバージョン","Programinės įrangos versija","Firmware","Programmatūras versija","Firmware-versie","Wersja firmware","Versão do Firmware","Versiunea Firmware","Verzija firmvera","Прошивка","Firmware","Različica strojne programske opreme","Firmware verzia","Firmware sürümü","Версія мікропрограми"
"INTL_DEBUG_SETTING_TO","const","Set debug level to","Настройки дебъгването на","Ajustar configuração de Debug ","设置调试级别为","Ladění nastaveno na","Setze Debug auf","Debug-indstillinger sat til","Seadistage silumise tase","Ajustar Debug a ","Aseta debug-tasoksi","Paramètres de débogage","Ορίστε το επίπεδο εντοπισμού σφαλμάτων σε","Postavite razinu analize grešaka na","Debug beállítás ","Imposta debug su","デバッグレベルを","Nustatykite derinimo lygį į","Debug setzen op","Iestatiet atkļūdošanas līmeni uz","Debugniveau naar ","Ustawiono poziom debugowania na ","Ajustar Debug a ","Setați nivelul de depanare la","Podesi debagovanje na","Настройки отладки","Ställa in debug-läge","Nastavite raven razhroščevanja na","Ladenie nastavené na","Debug ayarı ","Зневадження: "
"INTL_NONE","define","off","изключено","nenhum","关闭","žádný","Keine","none","välja","off","off","aucun","off","isključeno","kikapcsolva","Nessuno","オフ","iš","keng","izslēgts","Uit","Brak","nenhum","off","isključeno","отключена","none","izklop","žiadny","off","вимкнено"
"INTL_ERROR","define","only errors","само грешки","erro","唯恐有误","chyba","Fehler","error","ainult vead","Error","vain virheet","erreur","μόνο σφάλματα","greške","csak hibajelzések","Errore","エラーのみ","tik klaidos","fehler","tikai kļūdas","enkel foutmeldingen","Błędy","erro","numai erori","greške","только ошибки","error","samo napake","chyba","hatalar","лише помилки"
"INTL_WARNING","define","warnings","предупреждения","aviso","警示","varování","Warnungen","warning","hoiatused","Advertencia","varoitukset","avertissement","προειδοποιήσεις","upozorenja","minden figyelmeztetés","Warning","警告","įspėjimai","warnung","brīdinājumi","waarschuwingen","Ostrzeżenia","Advertência","avertismente","upozorenja","предупреждения","warning","opozorila","varovanie","uyarılar","попередження"
"INTL_MIN_INFO","define","min. info","минимална информация","Informação minima","最小信息","min. info","min. Info","min. info","min. info","min. info","min. info","min. info","ελάχιστη πληροφορία","minimalne informacije","min. info","min. info","min.info","min. informacija","min. info","min. informācija","min. info","Min. info","min. info","min. info","min. info","минимум информации","min. info","min. informacije","min. info","min. info","мінімум інформації"
"INTL_MED_INFO","define","mid. info","средна информация","Informação média","中部信息","stř. info","mttl. Info","med. info","mid. info","mid. info","mid. info","mid. info","mid. info","srednje informacije","közep. info","med. info","mid.info","vidurio informacija","med. info","vidējā informācija","mid. info","Śr. info","mid. info","informații medii.","mid. info","среднеинформативно","med. info","sredina. info","str. info","ortalama info","помірно інформації"
"INTL_MAX_INFO","define","max. info","пълна информация","Informação maxima","最大信息量","max. info","max. Info","max. info","max. info","max. info","max. info","max. info","max. πληροφορίες","maximalne informacije","max. info","max. info","max.info","maksimali informacija","max. info","maksimālā informācija","max. info","Maks. info","max. info","max. info","max. info","максимум информации","max. info","največje informacije","max. info","maks. info","максимум інформації"
"INTL_CONFIG_DELETED","define","Configuration was deleted","Конфигурацията е изтрита","Configuração apagada","配置被删除","Konfigurace smazána","Config.json gelöscht","Config.json slettet","Konfiguratsioon kustutati","Configuración fue borrada","Konfiguraatio poistettiin","Le fichier config.json a été effacé.","Η διαμόρφωση διαγράφηκε","Konfiguracija je izbrisana","Beállítások törölve","Configurazione cancellata","設定が削除された","Konfigūracija buvo ištrinta","Config.json geläscht","Konfigurācija tika dzēsta","Configuratie is verwijderd","Usunięto konfigurację","A configuração foi apagada","Configurația a fost ștearsă","Config.json je izbrisan","Config.json удалён","Config.json borttagen","Konfiguracija je bila izbrisana","Konfigurácia zmazaná","Konfigürasyon silindi","Конфігурацію видалено"
"INTL_CONFIG_CAN_NOT_BE_DELETED","define","Configuration can not be deleted","Конфигурацията не може да бъде изтрита","Configuração não pode ser apagada","不能删除配置","Konfigurace nemohla být smazána","Config.json konnte nicht gelöscht werden","Config.json kunne ikke slettes","Konfiguratsiooni ei saa kustutada","Configuración no puede ser borrada","Konfiguraatiota ei voi poistaa","Le fichier config.json n\'a pas pu être effacé.","Η διαμόρφωση δεν μπορεί να διαγραφεί","Konfiguracija se ne može izbrisati","A beállítások törlése sikertelen.","Impossibile cancellare la configurazione","コンフィグレーションの削除ができない","Konfigūracijos negalima ištrinti","Config.json konnt net geläscht ginn","Konfigurāciju nevar dzēst","Configuratie kan niet worden verwijderd","Konfiguracja nie może zostać usunięta","A configuração pode ser apagada","Configurația nu poate fi ștearsă","Config.json se ne može izbrisati","Config.json нельзя удалить","Config.json kunde inte tas bort","Konfiguracije ni mogoče izbrisati","Konfigurácia nemohla byť zmazaná","Konfigürasyon silinemiyor","Конфігурацію не можна видалити"
"INTL_CONFIG_NOT_FOUND","define","Configuration not found","Конфигурацията не е открита","Configuração não encontrada","未找到配置","Konfigurace nenalezena","Config.json nicht gefunden","Config.json kunne ikke findes","Konfiguratsiooni ei leitud","Configuración no encontrada","Konfiguraatiota ei löydy","Le fichier config.json est introuvable.","Η διαμόρφωση δεν βρέθηκε","Konfiguracija nije pronađena","Beállítások nem találhatóak","Configurazione non trovata","コンフィグレーションが見つからない","Konfigūracija nerasta","Config.json net fonnt","Konfigurācija nav atrasta","Configuratie is niet gevonden","Nie znaleziono konfiguracji","Configuração não encontrada","Configurația nu a fost găsită","Config.json nije pronađen","Config.json не найден","Config.json kunde inte hittas","Konfiguracija ni bila najdena","Konfigurácia nenájdená","Konfigürasyon bulunamadı","Конфігурацію не знайдено"
"INTL_TIME_TO_FIRST_MEASUREMENT","const","Still {v} seconds until first measurement.","Oще {v} секунди до първото измерване.","Outros {v} segundos para a primeira medição.","距离第一次测量还有{v}秒。","Zbývá {v} sekund do prvního měření.","Noch {v} Sekunden bis zur ersten Messung.","Der går {v} sekunder før den første måling.","Ikka {v} sekundit kuni esimese mõõtmiseni.","Otros {v} segundos a la primera medición.","Vielä {v} sekuntia ensimmäiseen mittaukseen.","Encore {v} secondes avant la première mesure.","Ακόμα {v} δευτερόλεπτα μέχρι την πρώτη μέτρηση.","Još {v} sekundi do prvog mjerenja.","Még {v} másodperc van hátra az első mérésig.","Altri {v} secondi per la prima misurazione.","最初の測定までまだ{v}秒。","Dar {v} sekundžių iki pirmojo matavimo.","Nach {v} Sekonnen bis zur éischter Miessung.","Vēl {v} sekundes līdz pirmajam mērījumam.","Nog {v} seconden voor de eerste meting.","Pozostało {v} sekund do pierwszego pomiaru.","Outros {v} segundos para a primeira medição.","Încă {v} secunde până la prima măsurătoare.","Još {v} sekundi do prvog merenja.","Еще {v} секунд до первого замера.","Det är {v} sekunder kvar till första mätningen.","Še vedno {v} sekund do prve meritve.","Zostáva {v} sekúnd do prvého merania.","Still {v} ilk ölçüme kadar geçen saniye.","Ще {v} секунд до першого вимірювання"
"INTL_TIME_SINCE_LAST_MEASUREMENT","const"," seconds since last measurement."," секунди от последното измерване."," Tempo desde a última medição"," 自上次测量以来的秒数。"," sekund od posledního měření."," Sekunden seit der letzten Messung."," sekunder siden den seneste måling."," sekundit alates viimasest mõõtmisest."," segundos desde la última medición."," sekuntia edellisestä mittauksesta."," secondes écoulées depuis la dernière mesure."," δευτερόλεπτα από την τελευταία μέτρηση."," sekundi od zadnjeg mjerenja."," másodperc telt el az utolsó mérés óta."," secondi dall'ultima misurazione"," 最後の測定からの秒数"," sekundžių nuo paskutinio matavimo."," Sekonnen zanter der leschter Miessung."," sekundes kopš pēdējā mērījuma."," seconden sinds laatste meting."," sekund od ostatniego pomiaru."," segundos desde a última medida."," secunde de la ultima măsurare."," sekundi od poslednjeg merenja."," секунд после последнего замера."," sekunder sedan den senaste mätningen."," sekund od zadnje meritve."," sekúnd od posledného merania."," Son ölçümden bu yana geçen saniye."," секунд від останнього вимірювання."
"INTL_PARTICLES_PER_LITER","const","particles/liter","частици/литър","Particulas/litro","粒子升","částice/litr","Partikel/Liter","Partikler/liter","particlesliter","Partículas/litro","hiukkaslitra","particules/litre","particlesliter","čestica po litri","részecske/liter","Particelle / litro","パーティクルライタ","daleliųlitras","Partikel/Liter","daļiņu litrs","deeltjes/liter","cząsteczek/litr","Partículas/litro","particuleliter","čestica/litru","Частицы/ литр","Partiklar/liter","delciliter","častíc/liter","Ince Toz(Hava Kirliliği) / litre","часток/літр"
"INTL_PARTICULATE_MATTER","const","particulate matter","Прахови частици","Particulas finas","颗粒物","prachových částic","Feinstaub","Partikelsensor","tahked osakesed","partículas finas","hiukkaset","particules fines","σωματιδιακή ύλη","čestice","szálló por","polveri sottili","粒子状物質","kietosios dalelės","Reng Stëbspartikelen","cietās daļiņas","fijnstof","Pył zawieszony","partículas finas","pulberi în suspensie","suspendovane čestice","Датчик пыли","partikelsensor","trdni delci","prachových častíc","Ince Toz(Hava Kirliliği)","Вимірювач дрібних часток"
"INTL_TEMPERATURE","const","temperature","Температура","Temperatura","温度","teplota","Temperatur","Temperatur","temperatuur","Temperatura","lämpötila","Température","θερμοκρασία","temperatura","hőmérséklet","Temperatura","温度","temperatūra","Temperatur","temperatūra","Temperatuur","Temperatura","Temperatura","temperatură","temperatura","Температура","Temperatur","temperatura","teplota","sıcaklık","температура"
"INTL_HUMIDITY","const","humidity","Влажност на въздуха","Humidade","湿度","rel. vlhkost","rel. Luftfeuchte","Rel. Fugtighed","niiskus","Humedad","kosteus","Humidité relative","υγρασία","vlažnost","relatív páratartalom","Umidità","湿度","drėgmė","rel. Loftfiichtegkeet","mitrums","Rel. luchtvochtigheid","Wilgotność","Humidade","umiditate","vlažnost","Относительная влажность","rel. fuktighet","vlažnost","rel. vlhkosť","nem","вологість"
"INTL_PRESSURE","const","air pressure","Атмосферно налягане","Pessão atmosférica","气压","tlak vzduchu","Luftdruck","Lufttryk","õhurõhk","Presión atmosférica","ilmanpaine","Pression atmosphérique","πίεση του αέρα","tlak zraka","légnyomás","Pressione dell'aria","空気圧","oro slėgis","Loftdrock","gaisa spiediens","Luchtdruk","Ciśnienie","Pressão atmosférica","presiunea aerului","vazdušni pritisak","Давление воздуха","Lufttryck","zračni tlak","tlak vzduchu","hava basıncı","атмосферний тиск"
"INTL_DEW_POINT","const","dew point","Точка на оросяване","[[dew_point]]","[[dew_point]]","rosný bod","Taupunkt","Dugpunkt","[[dew_point]]","Punto de rocío","[[dew_point]]","Point de rosée","[[dew_point]]","točka rosišta","[[dew_point]]","Punto di rugiada","[[dew_point]]","[[dew_point]]","[[dew_point]]","[[dew_point]]","Dauwpunt","Punkt rosy","[[dew_point]]","[[dew_point]]","[[dew_point]]","Точка росы","Daggpunkt","[[dew_point]]","[[dew_point]]","İşbâ","точка роси"
"INTL_CO2_PPM","const","ppm CO₂","ppm CO₂","ppm CO₂","ppm CO₂","ppm CO₂","ppm CO₂","ppm CO₂","ppm CO₂","ppm CO₂","ppm CO₂","ppm CO₂","ppm CO₂","ppm CO₂","ppm CO₂","ppm CO₂","ppm CO₂","ppm CO₂","ppm CO₂","ppm CO₂","ppm CO₂","ppm CO₂","ppm CO₂","ppm CO₂","ppm CO₂","ppm CO₂","ppm CO₂","ppm CO₂","ppm CO₂","ppm CO₂","ppm CO₂"
"INTL_LEQ_A","const","LAeq","LAeq","LAeq","LAeq","LAeq","LAeq","LAeq","LAeq","LAeq","LAeq","LAeq","LAeq","LAeq","LAeq","LAeq","LAeq","LAeq","LAeq","LAeq","LAeq","LAeq","LAeq","LAeq","LAeq","LAeq","LAeq","LAeq","LAeq","LAeq","LAeq"
"INTL_LA_MIN","const","LA min","LA min","LA min","LA min","LA min","LA min","LA min","LA min","LA min","LA min","LA min","LA min","LA min","LA min","LA min","L.A.分","LA min.","LA min","LA min","LA min","LA min","LA min","LA min","LA min","LA min","LA min","LA min","LA min","LA min","LA min"
"INTL_LA_MAX","const","LA max","LA max","LA max","LA最大","LA max","LA max","LA max","LA max","LA max","LA max","LA max","LA max","LA max","LA max","LA max","LA最大","LA max","LA max","LA max","LA max","LA max","LA max","LA max","LA max","LA max","LA max","LA max","LA max","LA max","LA max"
"INTL_LATITUDE","const","Latitude","Географска ширина","Latitude","纬度","Zem. šířka","Breite","Breddegrad","Laiuskraad","Latitud","Leveysaste","Latitude","Γεωγραφικό πλάτος","Zemljopisna širina","Földrajzi szélesség","Latitudine","緯度","Platuma","Breedegrad","Platums","Breedtegraad","Szerokość geo.","Latitude","Latitudine","Geografska širina","Широта","Latitud","Zemljepisna širina","Zem. šírka","Enlem","Широта"
"INTL_LONGITUDE","const","Longitude","Географска дължина","Longitude","经度","Zem. délka","Länge","Længdegrad","Pikkuskraad","Longitud","Pituusaste","Longitude","Γεωγραφικό μήκος","Zemljopisna dužina","Földrajzi hosszúság","Longitudine","経度","Ilguma","Längtegrad","Ģeogrāfiskais garums","Lengtegraad","Długość geo.","Longitude","Longitudine","Geografska dužina","Долгота","Longitud","Zemljepisna dolžina","Zem. dĺžka","Boylam","Довгота"
"INTL_ALTITUDE","const","Altitude","Надморска височина","Altitude","海拔","Nadm. výška","Höhe","Højde","Kõrgus","Altitud","Korkeus","Altitude","Υψόμετρο","Nadmorska visina","Tengerszint feletti magasság","Altitudine","高度","Aukštis","Héicht","Augstums","Hoogte","Wysokość","Altitude","Altitudine","Nadmorska visina","Высота","Altitud","Nadmorska višina","Nadm. výška","Rakım","Висота"
"INTL_TIME_UTC","const","Time (UTC)","Дата (UTC)","Hora (UTC)","时间(UTC)","Čas (UTC)","Zeit (UTC)","Tid (UTC)","Kellaaeg (UTC)","Tiempo (UTC)","Aika (UTC)","Heure (UTC)","Ώρα (UTC)","Vrijeme (UTC)","Idő","Ora (UTC)","時間(UTC)","Laikas (UTC)","Zäit (UTC)","Laiks (UTC)","Tijd (UTC)","Czas (UTC)","Hora (UTC)","Ora (UTC)","Vreme (UTC)","Время (UTC)","Tid (UTC)","Čas (UTC)","Čas (UTC)","zaman (UTC)","Час (UTC)"
"INTL_SIGNAL_STRENGTH","const","signal strength","Сила на сигнала","Intensidade do Sinal","信号强度","Síla signálu","Signal","Signal","signaali tugevus","Intensidad de Señal","signaalin voimakkuus","Force du signal","ισχύς του σήματος","jačina signala","Jelerősség","Potenza del segnale","信号強度","signalo stiprumas","Signal","signāla stiprums","Signaalsterkte","Siła sygnału","Intensidade do Sinal","puterea semnalului","jačina signala","Сигнал","Signal","moč signala","sila signálu","sinyal gücü","потужність сигналу"
"INTL_SIGNAL_QUALITY","const","signal quality","Качество на сигнала","Qualidade do Sinal","信号质量","Kvalita signálu","Qualität","Kvalitet","signaali kvaliteet","Calidad de Señal","signaalin laatu","Qualité du signal","ποιότητα σήματος","kvaliteta signala","Jelminőség","Qualità del segnale","信号品質","signalo kokybė","Qualitéit","signāla kvalitāte","Signaalkwaliteit","Jakość sygnału","Qualidade do Sinal","calitatea semnalului","kvalitet signala","Качество","Kvalitet","kakovost signala","kvalita signálu","sinyal kalitesi","якість сигналу"
"INTL_NUMBER_OF_MEASUREMENTS","define","Number of measurements","Брой измервания","Quantidade de medições","测量数量","Počet měření","Anzahl Messungen","Antal målinger","Mõõtmiste arv","Numero de mediciones","Mittausten lukumäärä","Nombre de mesures","Αριθμός μετρήσεων","Broj mjerenja","Mérések száma:","Numero di misurazioni","測定回数","Matavimų skaičius","Zuel vu Mesuren","Mērījumu skaits","Aantal metingen","Liczba pomiarów","Quantidade de medições","Număr de măsurători","Broj merenja","Количество измерений","Antal mätningar","Število meritev","Počet meraní","Ölçümlerin sayısı","Кількість вимірювань"
"INTL_TIME_SENDING_MS","define","Time spent uploading","Време, прекарано в изпращане","Duração de transmissão de medições","上传时间","Doba nahrávání","Dauer Messübertragung","Tid brugt på afsendelse","Üleslaadimisele kuluv aeg","Tiempo empleado para enviar","Lataamiseen käytetty aika","Durée de la transmission des mesures","Χρόνος μεταφόρτωσης","Vrijeme utrošeno na slanje podataka","Feltöltéssel töltött idő:","Tempo impiegato per l'invio","アップロードにかかった時間","Įkėlimo laikas","Dauer vu Mesureniwerdroung","Laiks, kas pavadīts, augšupielādējot","Tijdsduur opsturen metingen","Czas spędzony na wysyłce","Duração da transmissão das medições","Timp petrecut la încărcare","Vreme utrošeno za slanje","Время, потраченное на отправку","Tid som skickas i att skicka","Čas, porabljen za nalaganje","Trvanie odosielania dát","Göndermede harcanan süre","Час, витрачений на відправлення"
"INTL_SENSOR","define","Sensor","Сензор","Sensor","传感器","Senzor","Sensor","Sensor","Andur","Sensor","Anturi","Capteur","Αισθητήρας","Senzor","Szenzor","Sensore","センサー","Jutiklis","Sensor","Sensors","Sensor","Czujnik","Sensor","Senzor","Senzor","Датчик","Sensor","Senzor","Senzor","algılayıcı(Sensör)","Сенсор"
"INTL_PARAMETER","define","Parameter","Параметър","Parâmetro","参数","Parametr","Parameter","Parameter","Parameeter","Parámetro","Parametri","Paramètres","Παράμετρος","Parametar","Paraméter","Parametro","パラメータ","Parametras","Parameter","Parametrs","Parameter","Parametr","Parâmetro","Parametru","Parametar","Параметр","Parameter","Parameter","Parameter","Parametre","Параметр"
"INTL_VALUE","define","Value","Стойност","Valor","价值","Hodnota","Wert","Værdi","Väärtus","Valor","Arvo","Valeur","Αξία","Vrijednost","Érték","Valore","価値","Vertė","Wäert","Vērtība","Waarde","Wartość","Valor","Valoare","Vrednost","Значение","Värde","Vrednost","Hodnota","değer","Значення"
